Id;Name
63;Елисеефф В., Елисеефф Д.
611;Чешкова Л.А., Галенко В.И.
1673;Передельский Г.Е., Токмаков А.И., Хорошилов Г.Т.
1259;Воронин Н.Н., Раппопорт П.А.
1416;Буренина Л.К., Консон С.Б.
1588;Иванов Н.Р., Лехнович В.С., Никитин К.А.
578;Высоцкая Н.Ф., Карпович Т.А.
1282;Пашуто В.Т., Флоря Б.Н., Хорошкевич А.Л.
1720;Соколов В.Е., Сыроечковский Е.Е.
1484;Рей Э., Шаап У, Метер К., Вулф Л.
1502;Колосов А.М., Лавров Н.П., Михеев А.В.
2014;Кирмель Н.С., Хандорин В.Г.
1352;Лидский В.Б., Овсянников Л.В., Тулайков А.Н., Шабунин М.И.
425;Мархилевич К.И., Яштолд-Говорко В.А.
996;Комаров В.Н., Пановкин Б.Н.
126;Полбенникова О.Ю., Яковлев И.Г.
1278;Кусков В.В., Жемайтис С.С.
1739;Энгл Э., Паананен Л.
1451;Степанова В.Е., Шевеленко А.Я.
1577;Жегалова С.К., Жижина С.Л., Попова З.П., Черняховская Ю.С.
1274;Алтухов П.К., Афонский И.А., Рыболовский И.В., Татарченко А.Е.
692;Грознов С., Никашин Ф.
223;Семенова М., Тедеев Д.
1487;Матвеев В.И., Горелов М.С.
687;Тюрина Е.В., Гуськова И.Н., Шохина Н.К.
2035;Косинский А.М., фон Чишвиц А.Г.
663;Гончаренко В.С., Нарожная В.И.
672;Крылов Г.В., Козакова Н.Ф., Лагерь А.А.
352;Гемуев И.Н., Сагалаев А.М.
1703;Пятницкий В.И., Старинов И.Г.
1419;Власенков А.Т., Солдатенков В.А.
1640;Родичкин И.Ф., Родичкина О.И., Гринчак И.Л., Сергеев В.С., Фещенко П.И.
1281;Белов А.Д., Данилов Е.П., Дукур И.И., и др.
614;Овсянникова И.А., Целищева Э.П., Грайфер Д.М., Ларионова Г.Я.
633;Кузовкин А.С., Семенов А.Е.
125;Кудрявцев М.М., Неверов С.В., Бонди Е.А.
1858;Лекутер, Пенни
1373;Алферов А.В., Резник И.С., Шорин В.Г.
1313;Веймарн Б., Каптерева Т., Подольский А.
1137;Попов Г.В., Рындина А.В.
416;Владышевский Д.В., Шишикин А.С., Шишикина О.Э.
1296;Рипан Р., Четяну И.
712;Семенова М., Тедеев Д.
547;Галушко Ю.А., Колесников А.А.
1307;Смирин В.М., Смирин Ю.М.
1475;Пашкин Е.М., Бессонов Г.Б.
471;Войлочников А.Т., Войлочникова С.Д.
740;Гайнанов Х.С., Гайнанов И.Н.
1615;Деборин Г.А., Тельпуховский Б.С.
1583;Резниченко В.Г., Воробьев И.Н., Мирошниченко Н.Ф., и др.
1747;Ошмарин П.Г., Пикунов Д.Г.
649;Виденов Б., Ковачев Г., Манов Ст.
1912;Ануфриев В.В., Базарова Э.Л., Бицадзе Н.В., Гончарова Н.Н., Селезнева Е.Н., Черносвитов П.Ю.
2027;Хинштейн А., Мединский В.
358;Елисеефф В., Елисеефф Д.
1635;Сидоров И.В., Рогожкин А.Г.
1183;Басоло Ф., Пирсон Р.
963;Чудновский В.Я., Никольский А.К.
1449;Баландин С.Н., Ватанова О.П.
1992;Павлова Н.К.
1456;Галданова Г.Р., Герасимова К.М., Дашнев Д.Б., Митупов Г.Ц.
1057;Казунин Ф., Ягупов В.
29;Курдюмов Н.И., Малышевский К.Г.
1276;Куприянова В.Р., Арнольд И.В., Боровик М.А., Бурлакова В.В., Сиповская К.А.
1394;Гез Н.И., Мартенс К.К., Штегман Г.А.
2070;Андреев А.Р., Андреев М.А.
1320;Герасимов Я.И., Древине В.П., Еремин Е.Н., Киселев А.В., Лебедев В.П., Панченков Г.М., Шлыгин А.И.
640;Амирханов Л.И., Лукошков А.В.
502;Билаш Г.Д., Бурмистров А.Н., Гребцова В.Г., и др.
376;Борисов В.И., Бутусов Х.А., Лопаткин Ю.В., и др.
